No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
17,MFC,Manulife Financial Corporation,Financial,Insurance - Life,Canada,33.82B,8.79,18.63,0.0081,5229113
18,NGG,National Grid plc,Utilities,Utilities - Regulated Electric,United Kingdom,46.44B,13.45,62.9,-0.0049,362102
19,NWG,NatWest Group plc,Financial,Banks - Regional,United Kingdom,26.12B,5.24,5.93,0.0068,600208
20,PAA,"Plains All American Pipeline, L.P.",Energy,Oil & Gas Midstream,USA,10.65B,9.54,15.45,0.0131,2722760
21,PBR,Petroleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,88.00B,2.99,14.49,0.0313,24290234
22,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,USA,48.08B,8.39,122.22,0.0123,1235773
23,RF,Regions Financial Corporation,Financial,Banks - Regional,USA,17.21B,7.91,18.56,0.012,7725380
24,SMFG,"Sumitomo Mitsui Financial Group, Inc.",Financial,Banks - Diversified,Japan,61.11B,11.44,9.28,0.0198,928411
25,TEF,"Telefonica, S.A.",Communication Services,Telecom Services,Spain,24.02B,14.19,4.1,0.0024,2051873
26,TFC,Truist Financial Corporation,Financial,Banks - Regional,USA,40.69B,7.14,30.9,0.0115,7950719
27,UMC,United Microelectronics Corporation,Technology,Semiconductors,Taiwan,17.88B,7.49,7.24,0.0098,4680526
28,USB,U.S. Bancorp,Financial,Banks - Regional,USA,56.88B,10.3,37.07,0.0148,13755510
29,VALE,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,Brazil,59.62B,5.5,13.99,0.0623,34522693
30,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,USA,147.06B,6.97,34.86,-0.0034,14743095
